lon,lat,pickupcnt,dropoffcnt,roadname
-74.3295,40.6867,0,1,'NJBecker Rd10003'
-74.3295,40.6586,1,0,'NJStevens Ave10003|NJStevens Ave10003+NJSherman St+10003|NJSherman St10003'
-74.3295,40.7215,1,1,'NJWellington Ave10003'
-74.3293,40.6537,0,1,'NJ2nd Ave10003|NJ2nd Ave10003+NJMaple St+10003'
-74.3292,40.5289,1,1,'NJMay St10003'
-74.3289,40.7786,0,2,'NJArbor Ct10003'
-74.3288,40.7397,0,1,'NJHighland Ave10003'
-74.3287,40.5565,0,1,'NJWall St10003'
-74.3285,40.5471,0,1,'NJWainwright St10003'
-74.3284,40.7319,1,0,'NJTaylor Pl10003'
-74.3282,40.7230,0,1,'NJOak Hill Rd10003'
-74.3275,40.7481,0,1,'NJOswego Ln10003'
-74.3267,40.7088,0,1,'NJHenshaw Ave10003|NJHenshaw Ave10003+NJBaltusrol Way+10003'
-74.3266,40.8214,4,4,'NJEagle Rock Ave10003'
-74.3265,40.7060,1,1,'NJBaltusrol Way10003'
-74.3256,40.6304,1,0,'NJBurgess Ct10003|NJBurgess Ct10003+NJBurgess Ct+10003'
-74.3253,40.5721,0,1,'NJBird Ave10003+NJCorreja Ave+10003'
-74.3246,40.7175,0,1,'NJFarley Pl10003|NJFarley Pl10003+NJMillburn Ave+10003'
-74.3241,40.5570,0,1,'NJMercer St10003|NJMercer St10003+NJWall St+10003'
-74.3233,40.4104,1,1,'NJDawn Ct10003'
-74.3231,40.5672,0,1,'NJGill Ln10003+NJBarbara Ct+10003|NJBarbara Ct10003'
-74.3230,40.5244,0,1,'NJNew St10003'
-74.3225,40.7266,0,1,'NJHighland Ave10003'
-74.3221,40.8808,1,0,'NJBig Piece Rd10003+NJSylvan Rd+10003|NJSylvan Rd10003'
-74.3220,40.6143,1,0,'NJRand Rd10003+NJMcCollum Dr+10003|NJMcCollum Dr10003'
-74.3201,40.6550,1,0,'NJ2nd Ave10003+NJOak St+10003|NJ2nd Ave10003+NJN Oak St+10003|NJOak St10003|NJOak St10003+NJN Oak St+10003|NJN Oak St10003'
-74.3188,40.6690,1,0,'NJSpringfield Ave10003+NJPrinceton Rd+10003|NJCo Hwy 61510003+NJPrinceton Rd+10003|NJPrinceton Rd10003'
-74.3185,40.6323,0,1,'NJDakota St10003'
-74.3171,40.6146,0,1,'NJAmelia Dr10003+NJCanterbury Dr+10003|NJCanterbury Dr10003'
-74.3169,40.5572,0,1,'NJRonson Rd10009'
-74.3168,40.7596,0,1,'NJBushkill Dr10003'
-74.3167,40.7830,2,0,'NJCivic Center Rd10003'
-74.3148,40.9693,0,1,'NJWendover Dr10009'
-74.3136,40.6327,1,1,'NJTerminal Ave10003'
-74.3131,40.6291,0,1,'NJTerry Ln10003|NJTerry Ln10003+NJRaritan Rd+10003'
-74.3126,40.5584,0,2,'NJWoodbridge Commons Way10003'
-74.3126,40.8692,0,1,'NJValentino Rd10003'
-74.3118,40.5738,0,1,'NJNickie Ct10003'
-74.3112,40.5597,0,1,'NJGill Ln10003+NJWoodbridge Commons Way+10003|NJWoodbridge Commons Way10009'
-74.3109,40.7982,1,0,'NJFellswood Dr10003+NJDeerfield Rd+10003|NJDeerfield Rd10003'
-74.3102,40.5616,0,1,'NJCheryl Dr10003'
-74.3101,40.4072,1,1,'NJPeach Ln10003|NJPeach Ln10003+NJPoplar Ln+10003'
-74.3097,40.6485,0,1,'NJRetford Ave10003+NJCulin Dr+10003|NJCulin Dr10003'
-74.3083,40.6295,1,1,'NJSchool St10003'
-74.3077,40.4051,1,1,'NJCherry Hill Ln10003|NJCherry Hill Ln10003+NJCottonwood Ln+10003|NJCottonwood Ln10003'
-74.3057,40.6544,0,1,'NJSouth Ave W10003|NJSouth Ave W10003+NJS Union Ave+10003|NJSouth Ave W10003+NJSouth Ave E+10003|NJS Union Ave10003+NJSouth Ave E+10003|NJSouth Ave E10003'
-74.3055,40.5505,0,1,'NJHighview Dr10009|NJHighview Dr10009+NJHighview Dr+10009'
-74.3049,40.8558,0,1,'NJClinton Rd10003+NJRoosevelt Ave+10003|NJRoosevelt Ave10003'
-74.3046,40.7135,0,1,'NJI 7810001'
