lon,lat,pickupcnt,dropoffcnt,roadname
-74.3298,40.7177,0,1,'NJCleveland Pl10003'
-74.3295,40.6925,0,1,'NJKimberly Ct10003'
-74.3292,40.5289,0,1,'NJMay St10003'
-74.3288,40.7309,1,1,'NJChestnut Pl10003'
-74.2964,40.7206,0,1,'NJMyrtle Ave10003|NJMyrtle Ave10003+NJMyrtle Ave+10003'
-74.2859,40.7244,1,0,'NJRosedale Ave10003|NJRosedale Ave10003+NJMilton St+10003'
-74.2782,40.7218,0,1,'NJNorthview Ter10003|NJNorthview Ter10003+NJRynda Rd+10003'
-74.2748,40.6954,0,1,'NJUnion Ter10003|NJUnion Ter10003+NJElmwood Ave+10003'
-74.2745,40.7200,0,1,'NJBroadview Ave10003|NJBroadview Ave10003+NJState Rte 124+10003|NJBroadview Ave10003+NJSpringfield Ave+10003'
-74.2740,40.7245,0,1,'NJGirard Pl10003+NJHubert Pl+10003|NJHubert Pl10003'
-74.2734,40.7358,0,1,'NJWoodland Rd10003|NJWoodland Rd10003+NJJefferson Ave+10003'
-74.2672,40.6256,0,1,'NJFuller Rd10003'
-74.2635,40.8886,0,1,'NJHollywood Ave10003'
-74.2564,40.9024,0,2,'NJState Rte 2310002+NJWestbelt+10002'
-74.2524,40.6307,0,1,'NJN Wood Ave10003+NJState Rte 514+10003|NJN Wood Ave10003+NJW Elizabeth Ave+10003|NJN Wood Ave10003+NJE Elizabeth Ave+10003|NJState Rte 51410002+NJWood Ave+10002|NJW Elizabeth Ave10002|NJW Elizabeth Ave10002+NJWood Ave+10002|NJW Elizabeth Ave10002+NJE Elizabeth Ave+10002|NJWood Ave10003+NJE Elizabeth Ave+10003|NJE Elizabeth Ave10002'
-74.2469,40.5090,0,1,'NYAmboy Rd10003+NYMain St+10003'
-74.2457,40.8152,0,1,'NJDeerfield Dr10003'
-74.2381,40.5036,0,1,'NYWildwood Ln10003|NYWildwood Ln10003+NYForest Ln+10003'
-74.2373,40.7291,0,1,'NJNewton Pl10003|NJNewton Pl10003+NJClinton Ave+10003'
-74.2256,40.5700,1,0,'NJUnion St10003|NJUnion St10003+NJPershing Ave+10003'
-74.2252,40.5686,0,1,'NJMercer St10003|NJMercer St10003+NJPershing Ave+10003'
-74.2183,40.5348,0,1,'NYBloomingdale Rd10003+NYSonia Ct+10003|NYSonia Ct10003'
-74.2166,40.6397,1,1,'NJPark Ave S10003|NJPark Ave S10003+NJBrunswick Ave+10003|NJBrunswick Ave10003'
-74.2158,40.8073,0,1,'NJHawthorne Pl10003'
-74.2112,40.5204,0,1,'NYS Goff Ave10003+NYRigimar Ct+10003|NYRigimar Ct10003'
-74.2097,40.9284,0,1,'NJFox Hill Ct10003|NJFox Hill Dr10003'
-74.2094,40.8173,0,1,'NJLabel St10003+NJMontclair Ave+10003|NJMontclair Ave10003'
-74.2069,40.8448,0,1,'NJJerome Pl10003|NJJerome Pl10003+NJValley Rd+10003'
-74.2058,40.8190,0,1,'NJChristopher St10003+NJChestnut St+10003'
-74.2056,40.5378,0,1,'NYFoster Rd10003+NYRensselaer Ave+10003'
-74.2012,40.8049,0,1,'NJWildwood Ter10003+NJRidgewood Ave+10003'
-74.1996,40.5489,0,1,'NYAvon Green10003|NYAvon Green10003+NYRussek Dr+10003'
-74.1992,40.6755,0,1,'NJLouisa St10003|NJLouisa St10003+NJMeadow St+10003'
-74.1965,40.8286,0,1,'NJWatchung Ave10003+NJMorningside Ave+10003|NJMorningside Ave10003'
-74.1949,40.5484,1,1,'NYEverton Pl10003'
-74.1933,40.6872,0,1,'NJSpring St10003'
-74.1931,40.6843,0,2,'NJState Rte 8110002|NJState Rte 8110002+NJUS Hwy 9+10002|NJState Rte 8110002+NJUS Hwy 1+10002'
-74.1910,40.5510,0,1,'NYAlmond St10003|NYAlmond St10003+NYVespa Ave+10003'
-74.1882,40.8045,0,1,'NJCottage Pl10003'
-74.1877,40.6568,1,0,'NJ4th St10003|NJ4th St10003+NJPine St+10003|NJPine St10003'
-74.1874,40.8603,0,1,'NJGrove St10003+NJChurchill Dr+10003|NJChurchill Dr10003'
-74.1870,40.7021,0,2,'NJHaynes Ave10003'
-74.1851,40.5463,0,1,'NYJefferson Blvd10003+NYSheldon Ave+10003'
-74.1835,40.6884,0,1,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1832,40.6927,0,3,'NJNewark International Airport St10003'
-74.1827,40.6881,0,3,'NJExpress Rd10003'
-74.1810,40.5574,0,2,'NYErica Loop10003|NYErica Loop10003+NYWoodrow Rd+10003|NYErika Loop10003|NYErika Loop10003+NYWoodrow Rd+10003'
-74.1785,40.6127,0,1,'NYLois Ln10003|NYLois Ln10003+NYMerrill Ave+10003|NYMerrill Ave10003'
-74.1781,40.6641,0,1,'NJFashion Dr10003'
-74.1780,40.7086,0,1,'NJUS Hwy 910002+NJUS Hwy 22+10002|NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJUS Hwy 1+10002'
-74.1775,40.6910,0,3,'NJTerminal B10003'
-74.1764,40.8533,0,1,'NJState Rte 310002+NJGarden State Pkwy+10002'
-74.1762,40.7429,0,1,'NJBleeker St10003|NJBleeker St10003+NJDr Mlkj Blvd+10003|NJBleeker St10003+NJMartin Luther King Jr Blvd+10003|NJBleeker St10003+NJDr Martin Luther King Jr Blvd+10003|NJDr Mlkj Blvd10003|NJDr Mlkj Blvd10003+NJMartin Luther King Jr Blvd+10003|NJDr Mlkj Blvd10003+NJDr Martin Luther King Jr Blvd+10003|NJMartin Luther King Jr Blvd10003|NJDr Martin Luther King Jr Blvd10003'
-74.1740,40.5461,0,1,'NYMoffett St10003+NYRye Ave+10003|NYMoffett St10003+NYPetrus Ave+10003|NYRye Ave10003+NYPetrus Ave+10003|NYPetrus Ave10003'
-74.1735,40.7114,0,1,'NJI 7810001'
-74.1725,40.6029,0,1,'NYSigns Rd10003+NYSpark Pl+10003|NYSpark Pl10003'
-74.1705,40.7118,0,1,'NJFrontage Rd10003'
-74.1689,40.7697,1,1,'NJMount Prospect Ave10003+NJBallantine Pkwy+10003|NJMt Prospect Ave10003+NJBallantine Pkwy+10003|NJBallantine Pkwy10003'
-74.1687,40.6355,0,1,'NYPond Way10003|NYPond Way10003+NYAlexander Way+10003|NYPond Way10003+NYPond Way+10003|NYAlexander Way10003|NYAlexander Way10003+NYPond Way+10003'
-74.1660,40.6049,0,1,'NYDawson Cir10003|NYDawson Cir10003+NYDawson Ct+10003|NYArlene St10003+NYDawson Ct+10003|NYDawson Ct10003'
-74.1656,40.7166,0,1,'NJAdams St10003'
-74.1641,40.6261,1,0,'NYWemple St10003+NYMersereau Ave+10003|NYMersereau Ave10003'
-74.1640,40.6806,1,0,'NJRangoon St10003+NJAruba St+10003|NJLyle King St10003+NJAruba St+10003|NJAruba St10003'
-74.1640,40.7354,0,2,'NJRaymond Plz W10003|NJRaymond Plz W10003+NJRaymond Blvd+10003'
-74.1627,40.5784,0,1,'NYKathy Pl10003'
-74.1604,40.6280,0,1,'NYBreezy Ct10003|NYBreezy Ct10003+NYHarbor Rd+10003'
-74.1592,40.6125,0,1,'NYYona Ave10003|NYYona Ave10003+NYRichmond Ave+10003'
-74.1575,40.7084,0,1,'NJAirport Interchange St10001'
-74.1574,40.7116,1,2,'NJFrontage Rd10003+NJUS Hwy 9+10003|NJFrontage Rd10003+NJUS Hwy 1+10003'
-74.1574,40.5807,0,1,'NYGalvaston Loop10003'
-74.1572,40.7109,0,2,'NJFrontage Rd10003'
-74.1568,40.6760,0,1,'NJE Bay Ave10003+NJEgypt St+10003|NJEgypt St10003'
-74.1566,40.5796,0,1,'NYBelmar Dr W10003'
-74.1557,40.7402,0,1,'NJSomerset St10003|NJSomerset St10003+NJCo Rd 697+10003|NJSomerset St10003+NJFrank Rogers Blvd S+10003|NJSomerset St10003+NJFrank E Rodgers Blvd S+10003'
-74.1556,40.7382,0,1,'NJGuyon Dr10003|NJGuyon Dr10003+NJCo Rd 697+10003|NJGuyon Dr10003+NJFrank Rogers Blvd S+10003|NJGuyon Dr10003+NJFrank E Rodgers Blvd S+10003'
-74.1544,40.7316,0,1,'NJMarket St10003+NJVan Buren St+10003|NJVan Buren St10003'
-74.1537,40.7383,0,1,'NJGuyon Dr10003+NJS 5th St+10003|NJS 5th St10003'
-74.1529,40.5446,0,1,'NYAcacia Ave10003+NYSycamore St+10003'
-74.1519,40.5829,0,1,'NYShale St10003|NYShale St10003+NYNome Ave+10003|NYNome Ave10003'
-74.1498,40.5446,0,1,'NYHillcrest Ave10003|NYHillcrest Ave10003+NYLindenwood Rd+10003'
-74.1496,40.8206,0,1,'NJWhitford Ave10003+NJSatterthwaite Ave+10003'
-74.1482,40.6140,0,1,'NYThurston St10003|NYThurston St10003+NYHawthorne Ave+10003|NYHawthorne Ave10003'
-74.1478,40.5542,0,1,'NYKatan Ave10003+NYShafter Ave+10003'
-74.1450,40.9542,0,1,'NJMinerva Ave10003|NJMinerva Ave10003+NJLincoln Ave+10003'
-74.1439,40.7483,0,1,'NJSandford Ave10003+NJHarrison Ave+10003|NJHarrison Ave10003+NJSanford Ave+10003'
-74.1419,40.7115,0,1,'NJRutherford St10003'
-74.1410,40.6236,0,1,'NYRiegelmann St10003'
-74.1405,40.5548,0,1,'NYOld Amboy Rd10003|NYOld Amboy Rd10003+NYOld Amboy Rd+10003'
-74.1405,40.8262,0,1,'NJWalnut St10003|NJWalnut St10003+NJKingsland Rd+10003'
-74.1398,40.6377,0,1,'NYNicholas Ave10003+NYSlaight St+10003|NYSlaight St10003'
-74.1381,40.6141,0,1,'NYOconnor Ave10003|NYOconnor Ave10003+NYMarble St+10003|NYOconnor Ave10003+NYCheves Ave+10003|NYMarble St10003+NYCheves Ave+10003|NYCheves Ave10003'
-74.1359,40.8302,1,0,'NJBridewell Pl10003'
-74.1351,40.6198,0,1,'NYNeal Dow Ave10003+NYGarrison Ave+10003|NYGarrison Ave10003'
-74.1345,40.9628,0,1,'NJDoremus Ave10003'
-74.1332,40.8464,0,1,'NJPennington Ct10003|NJPennington Ct10003+NJPennington Ave+10003'
-74.1270,40.5728,0,1,'NYBelfast Ave10003|NYBelfast Ave10003+NYDalton Ave+10003'
-74.1261,40.6215,0,1,'NYColorado St10003|NYColorado St10003+NYCollege Ave+10003'
-74.1251,40.5659,0,1,'NYClarence Pl10003|NYClarence Pl10003+NYS Railroad Ave+10003'
-74.1250,40.7857,1,0,'NJSchuyler Ave10003+NJBernice Rd+10003|NJBernice Rd10003'
-74.1247,40.9353,0,1,'NJFairclough Pl10003+NJWestern Dr+10003|NJWestern Dr10003'
-74.1242,40.6017,0,1,'NYHarold St10003+NYMelba St+10003|NYMelba St10003'
-74.1212,40.6088,0,1,'NYSchmidts Ln10003'
-74.1208,40.6045,0,1,'NYHolden Blvd10003|NYHolden Blvd10003+NYTillman St+10003|NYTillman St10003'
-74.1208,40.5656,0,1,'NY10th St10003+NYPenn Ave+10003'
-74.1189,40.6313,0,1,'NYCaroline St10003'
-74.1177,40.8361,0,1,'NJJackson Village10003+NJHastings Ave+10003|NJJackson Ave10003+NJHastings Ave+10003|NJHastings Ave10003'
-74.1157,40.6061,0,1,'NYValleyview Pl10003|NYValleyview Pl10003+NYTodt Hill Rd+10003|NYValleyview Pl10003+NYStaten Island Blvd+10003|NYValleyview Pl10003+NYAndes Pl+10003|NYTodt Hill Rd10003+NYStaten Island Blvd+10003|NYTodt Hill Rd10003+NYAndes Pl+10003|NYStaten Island Blvd10003|NYStaten Island Blvd10003+NYAndes Pl+10003|NYAndes Pl10003'
-74.1135,40.5699,0,1,'NYClawson St10003+NYRoss Ave+10003'
-74.1128,40.5790,0,1,'NYKruser St10003+NYPrescott Ave+10003'
-74.1107,40.6253,0,1,'NYBement Ave10003+NYHowe St+10003|NYHowe St10003'
-74.1106,40.5726,0,2,'NYClawson St10003+NYBache Ave+10003'
-74.1106,40.6238,0,1,'NYBement Ave10003+NYTyler Ave+10003|NYBement Ave10003+NYWhitewood Ave+10003|NYTyler Ave10003|NYTyler Ave10003+NYWhitewood Ave+10003|NYWhitewood Ave10003'
-74.1072,40.6379,0,1,'NYRokeby Pl10003|NYRokeby Pl10003+NYBard Ave+10003'
-74.1056,40.5655,0,1,'NYCeltic Pl10003+NYWeed Ave+10003'
-74.1052,40.6279,0,1,'NYHarvest Ave10003'
-74.1046,40.6046,0,1,'NYDeere Park Pl10003|NYDeere Park Pl10003+NYPortsmouth Ave+10003'
-74.1038,40.6252,0,1,'NYCity Blvd10003+NYShawnee St+10003'
-74.1036,40.7053,0,1,'NJHolly St10003|NJHolly St10003+NJWalnut St+10003|NJWalnut St10003'
-74.1030,40.7084,0,1,'NJBirch St10003|NJBirch St10003+NJSociety Hill Dr N+10003|NJSociety Hill Dr N10003'
-74.1029,40.6050,0,1,'NYBeebe St10003'
-74.1024,40.8054,1,0,'NJClay Ave10003'
-74.1023,40.5769,0,1,'NYStacey Ln10003|NYStacey Ln10003+NYZwicky Ave+10003'
-74.1019,40.6332,0,1,'NYElwood Pl10003+NYHunter Pl+10003|NYHunter Pl10003'
-74.1007,40.8707,0,1,'NJHarrison Ave10003+NJGrand St+10003|NJGrand St10003'
-74.1001,40.8392,0,1,'NJMozart St10003+NJLaurel Pl+10003|NJLaurel Pl10003'
-74.0989,40.9694,0,1,'NJEastside Ave10003'
-74.0958,40.6034,0,1,'NYMedford Rd10003'
-74.0947,40.5777,0,1,'NYAdams Ave10003+NYMason Ave+10003'
-74.0916,40.5843,0,1,'NYLaconia Ave10003|NYLaconia Ave10003+NYBuel Ave+10003'
-74.0894,40.6016,0,1,'NYGateway Dr10003|NYGateway Dr10003+NYStanwich St+10003|NYGateway Dr10003+NYRome Ave+10003|NYStanwich St10003+NYRome Ave+10003|NYRome Ave10003'
-74.0891,40.5841,0,1,'NYMason Ave10003+NYLiberty Ave+10003'
-74.0882,40.6941,0,1,'NJCator Ave10003+NJGarfield Ave+10003'
-74.0881,40.6972,1,0,'NJSheffield St10003|NJSheffield St10003+NJOcean Ave+10003'
-74.0849,40.6336,0,1,'NYChester Pl10003|NYChester Pl10003+NYCebra Ave+10003'
-74.0847,40.5997,0,1,'NYLeslie Ave10003+NYParkinson Ave+10003'
-74.0822,40.5815,0,1,'NYPatterson Ave10003|NYPatterson Ave10003+NYSeaview Ave+10003'
-74.0821,40.7668,0,1,'NJCo Rd 65710003+NJBrianna Ln+10003|NJBrianna Ln10003|NJBrianna Ln10003+NJNew County Rd Exd+10003'
-74.0819,40.7666,0,1,'NJNew County Rd10003|NJNew County Rd10003+NJNew County Rd Exd+10003|NJCounty Ave Exd10003|NJCounty Ave Exd10003+NJNew County Rd Exd+10003|NJNew County Rd Exd10003'
-74.0814,40.7632,0,1,'NJRiverside Station Blvd10003|NJRiverside Station Blvd10003+NJRiverside Station Blvd+10003|NJRiverside Station Blvd10003+NJEmily Dr+10003|NJEmily Dr10003'
-74.0809,40.6272,0,1,'NYGrove St10003'
-74.0806,40.6268,0,3,'NYCourt St10003+NYTompkins Pl+10003|NYTompkins Pl10003'
-74.0798,40.5906,0,1,'NYWinfield St10003|NYWinfield St10003+NYNugent Ave+10003'
-74.0797,40.7843,0,1,'NJTopsail Ln10003|NJTopsail Ln10003+NJLower Roadway+10003|NJLower Roadway10003'
-74.0792,40.6014,0,1,'NYAllendale Rd10003'
-74.0784,40.7163,0,1,'NJBergen Ave10003+NJAtlantic St+10003|NJAtlantic St10003|NJAtlantic St10003+NJCo Rd 607+10003'
-74.0784,40.5984,0,1,'NYHylan Blvd10003+NYKensington Ave+10003|NYKensington Ave10003'
-74.0783,40.9508,0,1,'NJDemarest Rd10003|NJDemarest Rd10003+NJEngle Rd+10003'
-74.0777,40.5992,0,1,'NYSteuben St10003+NYNormalee Rd+10003|NYNormalee Rd10003'
