lon,lat,pickupcnt,dropoffcnt,roadname
-74.3213,40.6322,1,0,'NJSummit Ct10003'
-74.3142,40.7520,0,1,'NJGreat Hills Ter10003'
-74.3103,40.5253,0,1,'NJWilliam St10003'
-74.2736,40.9468,0,1,'NJRatzer Rd10003|NJCo Rd 50410003|NJCo Rd 50410003+NJUS Hwy 202+10003'
-74.2446,40.9484,0,1,'NJRatzer Rd10003|NJRatzer Rd10003+NJPassaic County 670+10003|NJRatzer Rd10003+NJRatzer Rd+10003'
-74.2358,40.5338,0,1,'NYGaton St10003|NYGaton St10003+NYGoethals Ave+10003|NYGaton St10003+NYEnglewood Ave+10003|NYGoethals Ave10003|NYGoethals Ave10003+NYEnglewood Ave+10003'
-74.2358,40.5381,1,0,'NYSharrotts Rd10003+NYMuriel St+10003|NYMuriel St10003'
-74.2180,40.7972,0,1,'NJWashington Ave10003+NJMadison Ave+10003|NJMadison Ave10003'
-74.2159,40.6799,0,1,'NJDewitt Rd10003|NJDewitt Rd10003+NJSalem Ave+10003'
-74.2110,40.6559,0,1,'NJDevine Ave10003|NJDevine Ave10003+NJUS Hwy 9+10003|NJDevine Ave10003+NJUS Hwy 1+10003'
-74.2050,40.6655,1,1,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.2046,40.5135,0,2,'NYBayside Ln10003+NYSt Edward Ln+10003|NYSt Edward Ln10003'
-74.1949,40.5484,1,0,'NYEverton Pl10003'
-74.1928,40.6876,0,1,'NJUS Hwy 110002+NJMc Clellan St+10002|NJMc Clellan St10003|NJMc Clellan St10003+NJUS Hwy 9+10003'
-74.1913,40.6750,0,2,'NJNorth Ave E10003+NJDowd Ave+10003'
-74.1909,40.6761,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJState Rte 81+10002'
-74.1870,40.7021,0,1,'NJHaynes Ave10003'
-74.1864,40.6931,0,4,'NJTower Rd10003'
-74.1844,40.6889,0,2,'NJTerminal A10003'
-74.1843,40.6898,0,1,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,1,'NJTerminal A10003'
-74.1840,40.6913,0,3,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,8,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1832,40.6927,0,2,'NJNewark International Airport St10003'
-74.1827,40.6881,0,39,'NJExpress Rd10003'
